songId,bpm,releaseDate
なるとなぎのパーフェクトロックンロール教室,216.0,2018-10-16
brilliant better,172.0,2016-09-22
fake!fake!,156.0,2016-06-30
ないせんのうた,184.0,2017-12-05
シュガーホリック,170.0,2024-08-16
もういいよ,147.0,2025-03-28
サンバディ！,136.0,2023-09-14
Hurtling Boys,195.0,2025-09-26
ジンギスカン,150.0,2018-11-06
セイクリッド　ルイン,186.0,2018-12-13
スピカの天秤,252.0,2022-03-11
スナネコのうた,92.0,2025-04-01
ゼロトーキング,133.0,2025-06-06
ハオ,176.0,2025-04-24
スーパーシンメトリー,210.0,2021-09-16
ナイト・オブ・ナイツ,180.0,2013-07-11
ソリッド,222.0,2020-01-23
スリップフリップ,143.0,2016-04-21
セカイ,133.0,2022-10-07
ネガティブ進化論,140.0,2021-03-18
ナイト・オブ・ナイツ (Cranky Remix),180.0,2019-07-11
セカイはまだ始まってすらいない,138.0,2021-10-15
デッドレッドガールズ,230.0,2015-09-17
デビルじゃないもん,154.0,2024-09-12
タカハせ！名人マン,150.0,2014-05-23
ナミダと流星,190.0,2015-03-19
チルノのパーフェクトさんすう教室　⑨周年バージョン,175.0,2017-10-17
ヒバナ,200.0,2018-12-13
ダーリンダンス,153.0,2024-09-12
タケモトピアノCMソング,122.0,2021-04-01
ドラゴンエネルギー,148.0,2021-10-15
ジングルベル,100.0,2015-03-19
ダンスロボットダンス,190.0,2018-03-20
ナイトメア☆パーティーナイト,175.0,2019-01-11
デリヘル呼んだら君が来た,190.0,2020-10-30
デンパラダイム,220.0,2019-09-20
ビターチョコデコレーション,174.0,2020-01-23
ソーラン☆節,145.0,2013-04-23
バラライカ,140.0,2014-07-17
ドーナツホール,252.0,2018-02-06
セガサターン起動音[H.][Remix],148.0,2013-11-14
ド屑,115.0,2023-08-18
バイオレンストリガー,196.0,2020-03-06
モンスターカミング,210.0,2025-01-24
チューリングの跡,180.0,2022-06-24
デッドマンズバラッド,300.0,2021-09-16
ネコ日和。,171.0,2012-07-11
トリアージ,180.0,2021-09-16
ニルヴの心臓,256.0,NULL
テオ,185.0,2023-07-21
トラフィック・ジャム,130.0,2021-08-20
トランスダンスアナーキー,195.0,2021-06-11
セハガガガンバッちゃう！！,202.0,2016-09-22
ツギハギスタッカート,139.0,2024-02-16
タテマエと本心の大乱闘,180.0,2020-02-20
バラバラ〜仮初レインボーローズ〜,135.0,2024-05-24
ナンセンス文学,154.0,2018-03-06
ダンシング☆サムライ,142.0,2012-12-13
ハッピーシンセサイザ,127.0,2012-07-11
患部で止まってすぐ溶ける～狂気の優曇華院,200.0,2014-05-15
ドクハク,208.0,2018-03-20
殿ッ！？ご乱心！？,200.0,2025-09-18
ピーマンたべたら,178.0,2015-01-08
モ°ルモ°ル,176.0,2020-01-23
チルノのパーフェクトさんすう教室,175.0,2013-07-11
ネクロファンタジア～Arr.Demetori,180.0,2019-05-24
セツナトリップ,145.0,2014-01-09
テトリス,170.0,2025-09-18
時計の国のジェミニ,180.0,2021-03-18
パラボラ,192.0,2020-12-11
幻想のサテライト,230.0,2014-07-17
トノサマビーム,170.0,2023-03-23
ベースラインやってる？笑,128.0,2021-05-14
雨露霜雪,250.0,2025-02-27
拝啓ドッペルゲンガー,181.0,2017-12-14
ラブって♡ジュエリー♪えんじぇる☆ブレイク！！,238.0,2019-03-22
パーフェクション,190.0,2022-04-28
ブリキノダンス,172.0,2018-08-07
ネ！コ！,182.0,2018-12-13
マツヨイナイトバグ,190.0,2021-11-12
ハロ／ハワユ,95.0,2014-09-04
ハム太郎とっとこうた,140.0,2020-01-23
フィクサー,135.0,2018-11-20
デコボコ体操第二,140.0,2013-01-17
ハウリング,184.0,2021-06-11
ネトゲ廃人シュプレヒコール,175.0,2017-06-06
プナイプナイせんそう,271.0,2020-01-10
ベノム,152.0,2020-11-27
ツクヨミステップ,172.0,2022-07-22
レーイレーイ,188.0,2020-11-27
ポケットからぬりつぶせ！,126.0,2021-03-04
レッツゴー!陰陽師,150.0,2014-07-17
モザイクロール,130.0,2014-01-23
ピリオドサイン,195.0,2022-12-16
トリドリ⇒モリモリ！Lovely fruits☆,185.0,2021-03-04
ハジマリノピアノ,190.0,2021-04-01
初音天地開闢神話,240.0,2022-03-24
マネマネサイコトロピック,210.0,2020-11-27
マーシャル・マキシマイザー,190.0,2022-11-04
パーフェクト生命,200.0,2016-07-14
ヒバリ,140.0,2023-03-23
不思議の国のクリスマス,128.0,2018-12-25
リリリリ★バーニングナイト,165.0,2014-07-17
ピポピポ -People People- feat. ななひら,230.0,2025-02-14
言ノ葉遊戯,164.0,2015-12-09
ヘルシーエンド,150.0,2017-07-25
メグメグ☆ファイアーエンドレスナイト,162.0,2012-07-11
ノンブレス・オブリージュ,148.0,2023-10-06
ハート・ビート,212.0,2016-11-03
リモコン,165.0,2022-02-25
モンダイナイトリッパー！,180.0,2022-11-04
ディカディズム,124.0,2021-08-05
メルト,170.0,2019-07-11
最っ高のエンタメだ!!,276.0,2024-08-30
トルコ行進曲 - オワタ＼(^o^)／,120.0,2013-07-11
赤心性：カマトト荒療治,205.0,2015-03-19
春嵐,140.0,2022-02-25
共感覚おばけ,184.0,2018-03-06
今、誰が為のかがり火へ,156.0,2021-03-18
ラットが死んだnew words,146.0,2021-08-05
共鳴,174.0,2020-07-03
幽闇に目醒めしは,120.0,2017-05-11
バカ通信,240.0,2024-05-24
ポップミュージックは僕のもの,135.0,2017-03-09
囲い無き世は一期の月影,172.0,2016-02-04
ルカルカ★ナイトフィーバー,160.0,2012-07-11
東京リアルワールド,150.0,2016-08-11
マツケンサンバⅡ,133.0,2024-09-12
ヤミツキ,208.0,2020-01-23
幽霊東京,124.0,2021-04-28
吉原ラメント,191.0,2017-04-18
ワードワードワード,137.0,2020-06-26
全力ハッピーライフ,190.0,2020-08-21
バーチャルダム　ネーション,210.0,2019-07-11
ホシシズク,182.0,2022-09-15
マリアをはげませ,131.0,2012-09-13
ホラフキパペット,205.0,2025-06-20
モエチャッカファイア,163.0,2025-03-28
パラマウント☆ショータイム！！,222.0,2022-03-24
管弦楽組曲 第3番 ニ長調「第2曲（G線上のアリア）」BWV.1068-2,180.0,2019-11-15
ファンタジーゾーン OPA-OPA! -GMT remix-,142.0,2014-04-17
白い雪のプリンセスは,200.0,2018-01-09
ロータスイーター,142.0,2023-03-10
バベル,225.0,2024-12-06
若い力,114.0,2022-04-01
噛み係,148.0,2021-09-16
居並ぶ穀物と溜息まじりの運送屋,160.0,2020-09-17
前衛的Landscape,153.0,2022-02-10
有明/Ariake,190.0,2024-12-20
ワンダーシャッフェンの法則,170.0,2021-02-19
泡沫、哀のまほろば,155.0,2017-12-14
光線チューニング,190.0,2017-08-24
右に曲ガール,175.0,2024-12-06
熱異常,183.0,2023-09-14
言ノ葉カルマ,150.0,2014-05-15
バグ,186.0,2023-09-14
響縁,180.0,2015-03-19
ヒミツCULT,190.0,2021-05-14
美夜月鏡,164.0,2024-09-12
失敗作少女,235.0,2021-12-24
迷える音色は恋の唄,165.0,2025-01-10
隠然,210.0,2019-02-22
彗星ハネムーン,145.0,2018-08-07
メルティランドナイトメア,140.0,2019-07-11
太陽系デスコ,150.0,2019-11-29
愛包ダンスホール,141.0,2024-09-12
踊,128.0,2022-09-15
炉心融解,165.0,2017-06-06
ヒステリックナイトガール,126.0,2022-01-28
宵の鳥,145.0,2023-06-23
幾望の月,276.0,2019-12-20
悪戯センセーション,192.0,2020-09-17
概して過誤,170.0,2025-05-09
群青讃歌,168.0,2022-10-07
壱雫空,204.0,2024-03-21
曖昧mind,135.0,2017-09-07
終点,222.0,2019-06-07
パンダヒーロー,190.0,2012-07-11
フタタビ,136.0,2023-12-22
僕の和風本当上手,120.0,2023-04-14
夢現妄想世界,195.0,2024-11-22
妄想税,134.0,2015-05-14
プラネタリウム・レヴュー,170.0,2024-11-08
デスパレイト,145.0,2017-10-03
回る空うさぎ,120.0,2023-02-17
デビル☆アイドル,180.0,2019-09-06
星詠みとデスペラード,182.0,2021-10-29
緋色のDance,155.0,2014-09-18
最強STRONGER,205.0,2023-03-02
橙の幻想郷音頭,136.0,2016-05-12
猫猫的宇宙論,134.0,2021-08-05
人生リセットボタン,200.0,2018-02-06
物凄いヴァイブスで魔理沙が物凄いラップ,173.0,2021-02-05
劣等上等,160.0,2021-01-21
紅に染まる恋の花,140.0,2022-07-01
地獄,190.0,2024-12-20
泣き虫O'clock,152.0,2013-05-09
初音ミクの激唱,200.0,2018-08-09
六兆年と一夜物語,186.0,2015-07-16
玩具狂奏曲 -終焉-,130.0,2019-10-24
犬日和。,138.0,2013-01-17
＊ハロー、プラネット。,150.0,2013-11-14
田中,186.0,2022-09-15
月光,195.0,2025-03-13
不機嫌なスリーカード,195.0,2023-03-23
星めぐり、果ての君へ。,175.0,2021-05-28
酔いどれ知らず,115.0,2024-03-21
リスペク風神,135.0,2023-03-23
分からない,200.0,2017-03-09
ラヴィ,183.0,2024-07-19
新人類,144.0,2024-05-24
デーモンベット,107.0,2022-04-28
ボッカデラベリタ,170.0,2023-03-10
無間嫉妬劇場『666』,108.0,2024-11-08
絡繰りドール,160.0,2021-02-05
神っぽいな,142.0,2023-03-23
超最終鬼畜妹フランドール・S,210.0,2025-05-21
天蓋,178.0,2024-10-25
ヴィラン,102.0,2022-09-15
絶え間なく藍色,125.0,2020-10-01
三日月ステップ 2023,167.0,2025-06-27
遺伝子レベル∞スパイラル,164.0,2022-04-01
紅星ミゼラブル～廃憶編,160.0,2021-11-12
解けないように,112.0,2023-09-14
命ばっかり,128.0,2019-04-26
響け！CHIREI MY WAY!,181.0,2022-01-07
リンカーネイション,185.0,2017-06-22
強風オールバック,135.0,2024-03-21
銀のめぐり,170.0,2022-10-21
脳漿炸裂ガール,155.0,2013-07-11
君だったから,125.0,2025-09-18
猛進ソリストライフ！,189.0,2017-10-31
初音ミクの消失,240.0,2015-12-09
リアライズ,150.0,2024-09-12
絡めトリック利己ライザー,150.0,2020-01-23
ラビットホール,173.0,2024-03-21
砂の惑星 feat. HATSUNE MIKU,95.0,2017-12-14
宿題が終わらないっ！,180.0,2017-06-22
美しく燃える森,140.0,2012-07-11
フキゲンワルツ,210.0,2019-01-11
夜咄ディセイブ,260.0,2013-09-05
秋の未確認生物,185.0,2022-11-04
放課後ストライド,225.0,2013-10-03
日本の米は世界一,138.0,2017-12-05
最終鬼畜妹フランドール・S,200.0,2019-05-24
記憶、記録,185.0,2013-07-11
悪戯,140.0,2015-04-16
咲キ誇レ常世ノ華,170.0,2017-12-14
無敵We are one!!,190.0,2016-06-30
三妖精SAY YA!!!,150.0,2022-07-01
願いを呼ぶ季節,170.0,2016-02-04
右肩の蝶,140.0,2019-01-25
色は匂へど散りぬるを,138.0,2016-12-15
儚きもの人間,180.0,2016-06-30
源平大戦絵巻テーマソング,190.0,2012-07-11
裏表ラバーズ,159.0,2013-11-14
乙女解剖,134.0,2020-09-17
東京レトロ,126.0,2017-07-25
宛城、炎上！！,175.0,2020-09-17
"大輪の魂 (feat. AO, 司芭扶)",137.0,2022-07-01
二息歩行,180.0,2014-03-20
真・ハンサム体操でズンドコホイ,140.0,2017-09-19
林檎華憐歌,144.0,2014-02-26
フォニイ,170.0,2022-09-15
ラブリー☆えんじぇる!!,173.0,2016-03-03
バレリーコ,150.0,2018-06-05
白花の天使,200.0,2022-08-05
バッド・ダンス・ホール,152.0,2017-07-25
独りんぼエンヴィー,132.0,2023-03-10
少女A,130.0,2025-08-22
フラジール,127.0,2017-11-21
パラドクスイヴ,180.0,2024-09-12
病み垢ステロイド,203.0,2024-09-12
少女レイ,150.0,2025-08-22
星見草,164.0,2023-02-03
幾四音-Ixion-,210.0,2015-12-09
下克上々,164.0,2021-06-11
ポッピンキャンディ☆フィーバー！,190.0,2021-11-26
寝起きヤシの木,160.0,2024-03-21
千本桜,154.0,2012-12-13
好きな惣菜発表ドラゴン,160.0,2025-05-09
ワールドワイドワンダー,142.0,2025-01-24
明星ロケット,163.0,2014-09-18
宿星審判,189.0,2021-09-16
トンデモワンダーズ,172.0,2023-12-09
華の集落、秋のお届け,165.0,2021-10-29
魂のルフラン,130.0,2023-04-01
一か罰,196.0,2019-10-18
忙シー日,150.0,2025-05-09
炭★坑★節,112.0,2012-07-11
フェイクフェイス・フェイルセイフ,202.0,2023-12-22
少女幻葬戦慄曲 ～ Necro Fantasia,182.0,2016-05-12
神室雪月花,86.0,2013-07-11
唱,132.0,2024-09-12
踊れオーケストラ,180.0,2017-01-24
ロストワンの号哭,162.0,2015-03-19
怪盗Rのテーマ,147.0,2012-09-13
時空を超えて久しぶり！,145.0,2013-07-11
私のドッペルゲンガー,190.0,2023-05-26
ロキ,150.0,2018-12-13
ｉｓｏｐｈｏｔｅ,160.0,2022-03-24
電車で電車でGO!GO!GO!GC! -GMT remix-,134.0,2014-04-17
命テステス,240.0,2025-10-03
神々の祈り,130.0,2014-05-15
マトリョシカ,205.0,2012-07-11
最終鬼畜妹・一部声,200.0,2015-11-12
神威,210.0,2023-12-09
ビビデバ,120.0,2025-03-13
深海少女,137.0,2014-09-04
進捗どうですか？,199.0,2018-10-02
電話革命ナイセン,145.0,2021-07-09
最強 the サマータイム!!!!!,178.0,2020-02-20
四次元跳躍機関,135.0,2015-11-12
花となれ,130.0,2023-05-26
ブレインジャックシンドローム,204.0,2020-03-19
阿修羅ちゃん,156.0,2023-03-23
㋰責任集合体,135.0,2025-06-27
立川浄穢捕物帳,210.0,2020-01-10
届かない花束,180.0,2021-04-28
終焉逃避行,147.0,2022-08-19
妄想感傷代償連盟,110.0,2018-06-21
パズルリボン,215.0,2022-08-19
敗北の少年,185.0,2019-04-26
勦滅,150.0,2024-05-10
抜錨,140.0,2025-06-06
演劇,176.0,2024-11-08
再会,137.0,2021-08-20
天狗の落とし文 feat. ｙｔｒ,160.0,2018-05-08
花と、雪と、ドラムンベース。,180.0,2018-11-06
系ぎて,88.0,2024-02-29
月に叢雲華に風,160.0,2016-06-30
天ノ弱,200.0,2014-01-23
人里に下ったアタイがいつの間にか社畜になっていた件,180.0,2017-08-03
虹と太陽,146.0,2012-07-11
死ぬな！,220.0,2025-09-18
人間が大好きなこわれた妖怪の唄,55.0,2024-10-11
ツムギボシ,190.0,2023-03-23
廻廻奇譚,185.0,2021-09-16
隠密あんみつDX,155.0,2023-08-04
ロールプレイングゲーム,162.0,2018-12-13
猫祭り,160.0,2018-04-03
厨病激発ボーイ,190.0,2016-01-21
ユビキリ,174.0,2017-08-10
天国と地獄 -言ノ葉リンネ-,138.0,2017-06-22
生きてるおばけは生きている,140.0,2017-01-24
四月の雨,79.0,2017-04-27
絶対敵対メチャキライヤー,190.0,2023-08-18
チエルカ／エソテリカ,205.0,2021-05-28
星界ちゃんと可不ちゃんのおつかい合騒曲,220.0,2023-10-06
骸骨楽団とリリア,260.0,2019-09-20
ワールズエンド・ダンスホール,171.0,2012-07-11
星空パーティーチューン,230.0,2022-06-24
偉大なる悪魔は実は大天使パトラちゃん様なのだ！,195.0,2024-08-16
モ°ルモ°ル (MZK Skippin' Remix),136.0,2023-07-07
永遠のメロディ,155.0,2018-05-08
空威張りビヘイビア,186.0,2016-12-15
メズマライザー,185.0,2025-03-13
蒼穹舞楽,195.0,2021-06-25
氷滅の135小節,205.0,2024-10-25
魔ジョ狩リ,190.0,2019-08-09
躯樹の墓守,211.0,2022-02-10
疾走あんさんぶる,195.0,2018-05-08
魔理沙は大変なものを盗んでいきました,170.0,2013-09-05
青春コンプレックス,190.0,2023-09-14
彩りキャンバス,180.0,2025-09-18
転生林檎,145.0,2024-11-22
プリズム△▽リズム,155.0,2024-09-12
フリィダム ロリィタ,150.0,2018-06-05
人マニア,150.0,2024-09-27
渦状銀河のシンフォニエッタ,238.0,2020-08-07
群青シグナル,206.0,2022-12-16
幸せになれる隠しコマンドがあるらしい,142.0,2017-11-21
ヨミビトシラズ,188.0,2022-02-10
リッジでリッジでGO!GO!GO! -GMT mashup-,146.0,2014-05-08
春を告げる,120.0,2022-06-10
魔法少女とチョコレゐト,150.0,2023-03-23
砂の函,180.0,2025-07-11
ドキドキDREAM!!!,210.0,2017-02-21
ロストワードクロニカル,184.0,2021-03-18
白ゆき,210.0,2017-11-21
東方スイーツ！～鬼畜姉妹と受難メイド～,179.0,2015-07-16
深海シティアンダーグラウンド,170.0,2020-07-17
幻想に咲いた花,186.0,2021-11-12
ロウワー,132.0,2023-03-23
リフヴェイン,148.0,2023-06-23
ピュグマリオンの咒文,190.0,2023-01-20
月面基地,180.0,2023-12-09
ノイローゼ,200.0,2021-12-24
帝国少女,118.0,2025-08-22
ワーワーワールド,160.0,2022-10-07
ヱデン,137.0,2023-04-28
メランコリック,140.0,2012-07-11
ミルキースター・シューティングスター,184.0,2022-03-24
天国と地獄,175.0,2012-11-07
単一指向性オーバーブルーム,158.0,2021-04-09
金の聖夜霜雪に朽ちて,185.0,2018-12-25
地上の戦士,130.0,2013-04-23
蒼空に舞え、墨染の桜,150.0,2016-05-12
悪魔の踊り方,106.0,2021-12-24
脳天直撃,145.0,2021-09-16
火炎地獄,216.0,2014-05-15
夜明けまであと３秒,182.0,2016-12-05
果ての空、僕らが見た光。,178.0,2024-09-12
星屑ユートピア,240.0,2019-09-20
ライアーダンサー,170.0,2024-05-24
超絶！Superlative,200.0,2013-04-23
ミラクルペイント,215.0,2018-08-21
華鳥風月,123.0,2017-06-22
好き！雪！本気マジック,167.0,2018-01-09
感情ディシーブ,175.0,2023-08-18
超常マイマイン,178.0,2019-07-11
ロミオとシンデレラ,170.0,2012-12-13
勇者,104.0,2024-09-12
究極焼肉レストラン！お燐の地獄亭！,185.0,2015-01-08
ミラクル・ショッピング,167.0,2018-02-20
天使光輪,203.0,2023-11-10
ハードコア・シンドローム,180.0,2022-03-11
奏者はただ背中と提琴で語るのみ,230.0,2019-03-08
私の中の幻想的世界観及びその顕現を想起させたある現実での出来事に関する一考察,175.0,2017-02-21
有頂天ドリーマーズ,188.0,NULL
康莊大道,208.0,2023-02-03
明星ギャラクティカ,154.0,2020-10-01
若い力 -SEGA HARD GIRLS MIX-,162.0,2015-06-04
拝啓、最高の思い出たち,124.0,2025-10-03
片想いサンバ,150.0,2019-01-11
フラグメンツ -T.V. maimai edit-,160.0,2016-02-04
"メイトなやつら（FEAT. 天開司, 佐藤ホームズ, あっくん大魔王 & 歌衣メイカ）",160.0,2024-10-11
宙天,125.0,2025-02-27
過去を喰らう,187.0,2024-03-21
腐れ外道とチョコレゐト,260.0,2012-12-13
僕は空気が嫁ない,192.0,2021-09-16
超熊猫的周遊記（ワンダーパンダートラベラー）,121.0,2023-08-04
封焔の135秒,200.0,2020-08-07
空回りライブラリ,130.0,2025-08-08
マヌルネコのうた,137.0,2025-04-01
永遠にゲームで対戦したいキリタン,126.0,2021-03-18
命に嫌われている,200.0,2020-09-17
阿吽のビーツ,103.0,2021-08-05
絶対にチョコミントを食べるアオイチャン,140.0,2020-10-30
全人類ノ非想天則,168.0,2013-10-03
鼓動,121.0,2014-02-26
円舞曲、君に,128.0,2013-07-11
電車で電車でOPA!OPA!OPA! -GMT mashup-,134.0,2014-05-08
弱虫モンブラン,120.0,2014-01-09
閃鋼のブリューナク,140.0,2015-12-09
待チ人ハ来ズ。,160.0,2014-07-17
教えて!! 魔法のLyric,180.0,2012-07-11
心象蜃気楼,190.0,2017-08-24
最速最高シャッターガール,160.0,2014-02-26
結ンデ開イテ羅刹ト骸,169.0,2019-01-25
雨とペトラ,195.0,2021-03-18
ユメヒバナ,151.0,2020-12-11
撩乱乙女†無双劇,165.0,2022-09-02
神々が恋した幻想郷,155.0,2022-01-06
ヴァンパイア,164.0,2022-03-24
生命不詳,200.0,2021-05-28
表裏一体,150.0,2020-07-17
自傷無色,120.0,2021-01-21
約束,136.0,2021-08-20
電光石火,165.0,2023-01-20
炎歌 -ほむらうた-,108.0,2013-04-23
恋愛裁判,134.0,2016-06-30
進め！イッスン軍団 -Rebellion of the Dwarfs-,172.0,2018-07-03
檄！帝国華撃団(改),144.0,2012-07-11
妖精村の月誕祭 ～Lunate Elf,132.0,2017-10-17
前前前世,190.0,2017-06-22
采配の刻 Power of order,185.0,2013-04-23
極圏,207.0,2018-12-13
ラブチーノ,126.0,2017-07-11
福宿音屋魂音泉,162.0,2019-10-18
怒槌,200.0,2018-12-04
夢花火,186.0,2017-06-22
不毛！,200.0,2015-02-05
蜘蛛の糸,180.0,2022-09-15
竹,150.0,2021-09-16
麒麟,220.0,2018-03-06
魔法少女になるしかねぇ,165.0,2019-02-07
木彫り鯰と右肩ゾンビ,150.0,2016-11-17
相思創愛,195.0,2017-08-24
高気圧ねこロック,260.0,2016-06-30
雷切-RAIKIRI-,165.0,2019-04-11
回レ！雪月花,160.0,2016-12-15
立ち入り禁止,160.0,2019-04-26
終わりなき物語,150.0,2016-11-03
物凄い勢いでけーねが物凄いうた,180.0,2015-12-09
御旗のもとに,147.0,2013-01-17
東方妖々夢 ～the maximum moving about～,196.0,2016-05-12
頓珍漢の宴,145.0,2016-04-07
天火明命,155.0,2017-05-23
ミラクルポップ☆アドベンチャー!!!!!,180.0,2024-07-05
フォルテシモBELL,121.0,2017-02-07
モニタリング,132.0,NULL
