Song,Genre,Version,Chart,Difficulty,Level,Achv,Rank,FC/AP,Sync,DX ✦,DX %,DX Score,Chart Constant
躯樹の墓守,maimai,UNiVERSE,DX,BASIC,6,94.23%,AAA,FC,SYNC,0,75.40%,570/756,?
系ぎて,maimai,BUDDiES,DX,BASIC,7,96.63%,AAA,-,SYNC,0,74.20%,766/1032,?
INTERNET YAMERO,POPS＆ANIME,BUDDiES PLUS,DX,ADVANCED,7+,96.34%,AAA,-,SYNC,0,73.20%,854/1167,7.8
INTERNET OVERDOSE,POPS＆ANIME,FESTiVAL,DX,ADVANCED,7,96.11%,AAA,-,SYNC,0,76.80%,820/1068,7.5
廻廻奇譚,POPS＆ANIME,UNiVERSE,DX,ADVANCED,7,97.65%,S,-,SYNC,0,79.00%,886/1122,7.5
さくゆいたいそう,POPS＆ANIME,BUDDiES,DX,ADVANCED,6+,99.26%,SS,-,-,0,82.50%,829/1005,6.8
偉大なる悪魔は実は大天使パトラちゃん様なのだ！,POPS＆ANIME,BUDDiES PLUS,DX,ADVANCED,7+,98.50%,S+,-,SYNC,0,78.00%,908/1164,7.7
過去を喰らう,POPS＆ANIME,BUDDiES PLUS,DX,ADVANCED,7,100.39%,SSS,-,SYNC,1,86.90%,946/1089,7.5
ミラクル・ショッピング,POPS＆ANIME,MiLK,STD,ADVANCED,7,98.15%,S+,FC,SYNC,0,76.90%,787/1023,7
インドア系ならトラックメイカー,POPS＆ANIME,UNiVERSE,DX,ADVANCED,7+,100.86%,SSS+,FC+,-,2,90.50%,771/852,7.9
グッバイ宣言,niconico＆VOCALOID™,UNiVERSE,DX,ADVANCED,7,97.70%,S,-,SYNC,0,80.40%,791/984,7.2
アニマル,niconico＆VOCALOID™,FESTiVAL,DX,ADVANCED,7+,100.40%,SSS,FC+,SYNC,1,85.90%,1119/1302,7.8
ヒバナ,niconico＆VOCALOID™,FiNALE,STD,ADVANCED,8,98.13%,S+,-,-,0,80.50%,978/1215,8.2
ラヴィ,niconico＆VOCALOID™,BUDDiES PLUS,DX,ADVANCED,7,98.84%,S+,-,SYNC,0,80.90%,903/1116,7.5
グリーンライツ・セレナーデ,niconico＆VOCALOID™,maimaiでらっくす,DX,ADVANCED,7,98.72%,S+,-,SYNC,0,82.70%,915/1107,7.5
初音ミクの消失,niconico＆VOCALOID™,BUDDiES,DX,ADVANCED,8,99.63%,SS+,FC,SYNC,0,81.90%,921/1125,8
ロキ,niconico＆VOCALOID™,FiNALE,STD,ADVANCED,8,98.97%,S+,-,SYNC,0,82.70%,911/1101,8
パーフェクト生命,niconico＆VOCALOID™,PiNK PLUS,STD,ADVANCED,8,100.21%,SSS,-,SYNC,2,90.30%,1254/1389,8.1
さよならプリンセス,niconico＆VOCALOID™,BUDDiES,DX,ADVANCED,7,99.91%,SS+,-,SYNC,0,84.80%,809/954,7.2
だんだん早くなる,niconico＆VOCALOID™,MURASAKi,STD,ADVANCED,8,97.76%,S,-,-,0,80.50%,1014/1260,8.3
恋愛裁判,niconico＆VOCALOID™,PiNK PLUS,STD,ADVANCED,7,97.78%,S,FC,SYNC,0,80.50%,734/912,7.1
ナイトメア☆パーティーナイト,niconico＆VOCALOID™,FiNALE,STD,ADVANCED,8,100.07%,SSS,-,-,0,84.00%,1056/1257,8.3
さよならヒストリー,東方Project,BUDDiES PLUS,DX,ADVANCED,7,95.68%,AAA,-,SYNC,0,72.90%,783/1074,7.2
ひれ伏せ愚民どもっ！,東方Project,PiNK PLUS,STD,ADVANCED,7+,100.65%,SSS+,FC+,FSD,1,88.30%,948/1074,7.8
Calamity Fortune,東方Project,MURASAKi PLUS,STD,ADVANCED,9,100.24%,SSS,FC,SYNC,2,92.70%,1132/1221,9.3
Chronomia,GAME＆VARIETY,PRiSM (beta),DX,ADVANCED,8,96.49%,AAA,-,-,0,72.80%,887/1218,8.5
QUATTUORUX,GAME＆VARIETY,BUDDiES PLUS,DX,ADVANCED,8+,95.16%,AAA,-,SYNC,0,69.90%,918/1314,8.8
INFiNiTE ENERZY -Overdoze-,GAME＆VARIETY,BUDDiES PLUS,DX,ADVANCED,8,99.66%,SS+,-,SYNC,1,85.80%,865/1008,8
神威,GAME＆VARIETY,BUDDiES,DX,ADVANCED,8+,100.38%,SSS,-,SYNC,1,88.50%,1104/1248,8.7
"Good Bye, Mr. Jack",GAME＆VARIETY,FiNALE,STD,ADVANCED,9,91.21%,AA,-,SYNC,0,67.90%,823/1212,9
ouroboros -twin stroke of the end-,GAME＆VARIETY,BUDDiES PLUS,DX,ADVANCED,9,100.76%,SSS+,FC+,SYNC,2,90.70%,1206/1329,9
Abstruse Dilemma,GAME＆VARIETY,PRiSM (beta),DX,ADVANCED,8+,98.62%,S+,FC,SYNC,0,75.60%,1164/1539,8.7
極圏,GAME＆VARIETY,FiNALE,STD,ADVANCED,9,99.23%,SS,FC,SYNC,1,86.70%,1173/1353,9.5
きたさいたま2000,GAME＆VARIETY,ORANGE,STD,ADVANCED,8+,99.85%,SS+,-,SYNC,1,86.50%,721/834,8.6
セイクリッド　ルイン,GAME＆VARIETY,FiNALE,STD,ADVANCED,9+,96.88%,AAA,-,-,0,77.50%,1130/1458,9.6
FREEDOM DiVE (tpz Overcute Remix),GAME＆VARIETY,MiLK PLUS,STD,ADVANCED,9,97.70%,S,-,SYNC,0,76.60%,1082/1413,9.5
ミラクルポップ☆アドベンチャー!!!!!,GAME＆VARIETY,BUDDiES PLUS,DX,ADVANCED,8,100.66%,SSS+,FC+,SYNC,1,89.10%,1077/1209,8.5
Luminaria,GAME＆VARIETY,FESTiVAL,DX,ADVANCED,7+,94.98%,AAA,-,SYNC,0,79.70%,844/1059,7.8
エナドリおいしいソング,GAME＆VARIETY,FESTiVAL,DX,ADVANCED,8+,96.77%,AAA,FC,SYNC,0,77.60%,799/1029,8.7
星空パーティーチューン,maimai,UNiVERSE PLUS,DX,ADVANCED,8+,98.54%,S+,-,-,0,83.30%,1209/1452,8.8
前衛的Landscape,maimai,UNiVERSE,DX,ADVANCED,8,98.96%,S+,-,SYNC,0,82.00%,738/900,8
FEEL the BEATS,maimai,PiNK,STD,ADVANCED,8+,83.66%,A,-,-,0,62.20%,924/1485,8.6
mystique as iris,maimai,FESTiVAL,DX,ADVANCED,9+,97.92%,S,-,SYNC,0,83.60%,1161/1389,9.7
雨露霜雪,maimai,PRiSM (beta),DX,ADVANCED,9,100.87%,SSS+,FC+,SYNC,1,90.00%,1436/1596,9
QZKago Requiem,maimai,FiNALE,STD,ADVANCED,10+,96.21%,AAA,-,SYNC,0,74.60%,1327/1779,10.7
IF:U,maimai,BUDDiES PLUS,DX,ADVANCED,8,99.34%,SS,FC,SYNC,0,79.10%,776/981,8
raputa,maimai,BUDDiES,DX,ADVANCED,8+,100.67%,SSS+,FC+,SYNC,1,88.20%,1122/1272,8.7
the EmpErroR,maimai,FiNALE,STD,ADVANCED,10+,98.17%,S+,-,SYNC,0,81.80%,1308/1599,10.6
VeRForTe αRtE:VEiN,maimai,FESTiVAL PLUS,DX,ADVANCED,8,100.56%,SSS+,FC+,SYNC,1,89.20%,1001/1122,8.2
[X],maimai,FESTiVAL,DX,ADVANCED,8,100.77%,SSS+,FC+,-,1,88.60%,968/1092,8
VIIIbit Explorer,maimai,FESTiVAL,STD,ADVANCED,8,100.38%,SSS,FC,SYNC,1,88.30%,1014/1149,8.2
Strive against fate,maimai,UNiVERSE PLUS,DX,ADVANCED,7+,100.47%,SSS,FC,SYNC,1,89.80%,1007/1122,7.9
PANDORA PARADOXXX,maimai,FiNALE,STD,ADVANCED,11,93.64%,AA,-,SYNC,0,69.60%,1186/1704,11.5
華の集落、秋のお届け,maimai,UNiVERSE,DX,ADVANCED,7+,99.07%,SS,-,SYNC,0,82.50%,822/996,7.9
BLACK SWAN,maimai,UNiVERSE,DX,ADVANCED,8,98.71%,S+,-,SYNC,0,80.30%,853/1062,8.5
Glorious Crown,maimai,PiNK,STD,ADVANCED,10,100.23%,SSS,-,SYNC,1,86.50%,1602/1851,10.5
Axeria,maimai,ORANGE PLUS,STD,ADVANCED,8+,99.03%,SS,FC+,SYNC,0,84.90%,823/969,8.6
FFT,maimai,FiNALE,STD,ADVANCED,9,99.89%,SS+,FC,SYNC,0,84.70%,973/1149,9.5
Excalibur ～Revived resolution～,maimai,MiLK,STD,ADVANCED,10,97.11%,S,-,SYNC,0,76.20%,974/1278,10.3
Schwarzschild,maimai,FiNALE,STD,ADVANCED,9+,99.99%,SS+,FC,SYNC,0,84.70%,1125/1329,9.7
Fragrance,maimai,maimai PLUS,STD,ADVANCED,9,92.07%,AA,-,SYNC,0,70.70%,301/426,9.3
系ぎて,maimai,BUDDiES,DX,ADVANCED,10,94.03%,AAA,-,SYNC,0,73.70%,1191/1617,10.5
R'N'R Monsta,オンゲキ＆CHUNITHM,PRiSM (beta),DX,ADVANCED,8,100.42%,SSS,-,SYNC,1,87.00%,1036/1191,8.2
Apollo,オンゲキ＆CHUNITHM,BUDDiES,DX,ADVANCED,8+,98.98%,S+,-,SYNC,0,80.80%,969/1200,8.8
Still,オンゲキ＆CHUNITHM,MiLK,STD,ADVANCED,7+,95.42%,AAA,-,-,0,68.40%,712/1041,7.6
Λzure Vixen,オンゲキ＆CHUNITHM,BUDDiES,DX,ADVANCED,8,99.93%,SS+,-,SYNC,1,86.10%,1033/1200,8
Hainuwele,オンゲキ＆CHUNITHM,FESTiVAL,DX,ADVANCED,8,100.01%,SSS,FC,SYNC,0,83.80%,1061/1266,8
スピカの天秤,オンゲキ＆CHUNITHM,UNiVERSE,DX,ADVANCED,8+,100.63%,SSS+,FC,SYNC,2,90.50%,1026/1134,8.8
World Vanquisher,オンゲキ＆CHUNITHM,MiLK PLUS,STD,ADVANCED,9+,97.82%,S,-,SYNC,0,76.50%,1024/1338,9.6
Xevel,オンゲキ＆CHUNITHM,MiLK PLUS,STD,ADVANCED,8+,99.65%,SS+,FC,SYNC,1,86.30%,1111/1287,8.8
TiamaT:F minor,オンゲキ＆CHUNITHM,FiNALE,STD,ADVANCED,10,91.23%,AA,-,SYNC,0,71.60%,1080/1509,10.3
エンドマークに希望と涙を添えて,オンゲキ＆CHUNITHM,MiLK,STD,ADVANCED,9+,93.64%,AA,-,SYNC,0,70.80%,1111/1569,9.6
モエチャッカファイア,POPS＆ANIME,PRiSM PLUS (beta),DX,EXPERT,10,100.73%,SSS+,FC+,SYNC,1,89.90%,1416/1575,10.5
はいよろこんで,POPS＆ANIME,PRiSM PLUS (beta),DX,EXPERT,9+,100.48%,SSS,FC,-,1,89.90%,1365/1518,9.8
もういいよ,POPS＆ANIME,PRiSM PLUS (beta),DX,EXPERT,9+,100.83%,SSS+,FC+,SYNC,1,89.20%,1461/1638,9.8
アイドル,POPS＆ANIME,BUDDiES PLUS,DX,EXPERT,9+,100.88%,SSS+,FC,-,3,93.20%,1434/1539,9.8
勇者,POPS＆ANIME,PRiSM (beta),DX,EXPERT,9+,96.97%,AAA,-,SYNC,0,74.90%,609/813,9.8
マヌルネコのうた,POPS＆ANIME,PRiSM PLUS (beta),DX,EXPERT,9+,100.56%,SSS+,FC+,-,1,89.80%,1072/1194,9.8
スナネコのうた,POPS＆ANIME,PRiSM PLUS (beta),DX,EXPERT,9+,100.43%,SSS,FC,SYNC,1,89.90%,704/783,9.7
シカ色デイズ,POPS＆ANIME,PRiSM PLUS (beta),DX,EXPERT,9+,100.62%,SSS+,FC,SYNC,2,91.50%,1065/1164,9.8
きゅびずむ,POPS＆ANIME,PRiSM PLUS (beta),DX,EXPERT,10,100.09%,SSS,FC,FS+,1,88.60%,1246/1407,10
きゅびびびびずむ,POPS＆ANIME,PRiSM PLUS (beta),DX,EXPERT,12,100.04%,SSS,FC,SYNC,1,88.20%,1763/1998,12
阿修羅ちゃん,POPS＆ANIME,FESTiVAL PLUS,DX,EXPERT,10,100.33%,SSS,FC,SYNC,1,89.20%,1300/1458,10
踊,POPS＆ANIME,FESTiVAL,DX,EXPERT,8,99.93%,SS+,FC,-,1,86.70%,1246/1437,8.5
INTERNET YAMERO,POPS＆ANIME,BUDDiES PLUS,DX,EXPERT,10+,99.65%,SS+,-,-,0,84.10%,1763/2097,10.7
INTERNET OVERDOSE,POPS＆ANIME,FESTiVAL,DX,EXPERT,10+,100.97%,SSS+,AP,SYNC,3,94.10%,1519/1614,10.8
だから僕は音楽を辞めた,POPS＆ANIME,maimaiでらっくす PLUS,DX,EXPERT,8+,99.49%,SS,FC+,SYNC,1,85.10%,855/1005,8.7
前前前世,POPS＆ANIME,MURASAKi PLUS,STD,EXPERT,9,97.21%,S,-,SYNC,0,79.60%,1111/1395,?
廻廻奇譚,POPS＆ANIME,UNiVERSE,DX,EXPERT,9+,93.95%,AA,-,SYNC,0,74.90%,1322/1764,9.8
春を告げる,POPS＆ANIME,UNiVERSE PLUS,DX,EXPERT,9+,97.51%,S,-,SYNC,0,81.60%,972/1191,9.8
おとせサンダー,POPS＆ANIME,FESTiVAL PLUS,DX,EXPERT,9+,98.16%,S+,-,SYNC,1,87.20%,1486/1704,9.8
愛包ダンスホール,POPS＆ANIME,PRiSM (beta),DX,EXPERT,9,100.92%,SSS+,FC+,-,2,92.10%,1420/1542,9.2
モンスターカミング,POPS＆ANIME,PRiSM (beta),DX,EXPERT,11,99.29%,SS,FC,SYNC,0,81.90%,1192/1455,11.4
"メイトなやつら（FEAT. 天開司, 佐藤ホームズ, あっくん大魔王 & 歌衣メイカ）",POPS＆ANIME,PRiSM (beta),DX,EXPERT,10,98.98%,S+,-,SYNC,0,83.70%,1122/1341,10
夢現妄想世界,POPS＆ANIME,PRiSM (beta),DX,EXPERT,10+,94.77%,AAA,-,SYNC,0,75.90%,1417/1866,10.7
さくゆいたいそう,POPS＆ANIME,BUDDiES,DX,EXPERT,9+,99.46%,SS,-,SYNC,1,88.10%,1422/1614,9.7
Virtual to LIVE,POPS＆ANIME,Splash,DX,EXPERT,8+,94.70%,AAA,-,-,0,77.80%,838/1077,8.7
偉大なる悪魔は実は大天使パトラちゃん様なのだ！,POPS＆ANIME,BUDDiES PLUS,DX,EXPERT,10+,100.64%,SSS+,FC+,SYNC,2,91.10%,1574/1728,10.7
シュガーホリック,POPS＆ANIME,BUDDiES PLUS,DX,EXPERT,10,100.82%,SSS+,FC+,SYNC,2,90.00%,1364/1515,10
ヒバリ,POPS＆ANIME,FESTiVAL PLUS,DX,EXPERT,10+,98.64%,S+,-,SYNC,0,80.60%,962/1194,10.7
"Hello, Hologram",POPS＆ANIME,FESTiVAL PLUS,DX,EXPERT,10,98.73%,S+,-,-,0,80.60%,1330/1650,10.5
不機嫌なスリーカード,POPS＆ANIME,FESTiVAL PLUS,DX,EXPERT,10,100.46%,SSS,FC+,SYNC,1,87.10%,1126/1293,10.5
ヒトガタ,POPS＆ANIME,UNiVERSE PLUS,DX,EXPERT,10+,99.78%,SS+,FC,SYNC,1,88.70%,1463/1650,10.8
シリウスの輝きのように,POPS＆ANIME,PRiSM (beta),DX,EXPERT,10+,100.03%,SSS,FC,SYNC,1,87.00%,1086/1248,10.7
プラネタリウム・レヴュー,POPS＆ANIME,PRiSM (beta),DX,EXPERT,10,99.98%,SS+,FC,-,1,86.80%,927/1068,10.5
壱雫空,POPS＆ANIME,BUDDiES PLUS,DX,EXPERT,11,100.34%,SSS,FC,SYNC,1,88.50%,1176/1329,11
過去を喰らう,POPS＆ANIME,BUDDiES PLUS,DX,EXPERT,10,97.12%,S,-,SYNC,0,82.90%,1259/1518,10
Burn My Soul,POPS＆ANIME,BUDDiES,DX,EXPERT,10,99.49%,SS,-,-,1,89.00%,1557/1749,10.5
おジャ魔女カーニバル!!,POPS＆ANIME,Splash PLUS,DX,EXPERT,8+,99.74%,SS+,-,-,1,87.70%,1187/1353,8.8
ハム太郎とっとこうた,POPS＆ANIME,maimaiでらっくす PLUS,DX,EXPERT,8,98.23%,S+,FC,SYNC,1,88.70%,633/714,8.5
　,POPS＆ANIME,UNiVERSE PLUS,DX,EXPERT,10,94.01%,AAA,-,SYNC,0,79.40%,850/1071,10.5
Princess♂,POPS＆ANIME,UNiVERSE PLUS,DX,EXPERT,10,99.23%,SS,-,-,0,84.00%,1074/1278,10.5
ネ！コ！,POPS＆ANIME,FiNALE,STD,EXPERT,10+,100.39%,SSS,FC+,SYNC,1,86.30%,1054/1221,10.6
真・ハンサム体操でズンドコホイ,POPS＆ANIME,MURASAKi PLUS,STD,EXPERT,10,94.15%,AAA,-,-,0,78.70%,751/954,10.2
若い力 -SEGA HARD GIRLS MIX-,POPS＆ANIME,ORANGE PLUS,STD,EXPERT,10,94.49%,AAA,-,SYNC,0,76.90%,884/1149,10
セハガガガンバッちゃう！！,POPS＆ANIME,PiNK PLUS,STD,EXPERT,11,99.66%,SS+,FC,-,1,86.90%,1582/1821,11.5
ラブリー☆えんじぇる!!,POPS＆ANIME,PiNK,STD,EXPERT,10,92.81%,AA,-,SYNC,0,71.90%,824/1146,10.1
ラブって♡ジュエリー♪えんじぇる☆ブレイク！！,POPS＆ANIME,FiNALE,STD,EXPERT,11+,99.55%,SS+,FC,-,1,85.30%,1034/1212,11.8
HIMITSUスパーク,POPS＆ANIME,PiNK,STD,EXPERT,10,95.64%,AAA,-,-,0,75.90%,1177/1551,10.1
ウッーウッーウマウマ(ﾟ∀ﾟ),POPS＆ANIME,maimai,STD,EXPERT,9+,100.94%,SSS+,AP,-,2,91.90%,1175/1278,9.7
ポップミュージックは僕のもの,POPS＆ANIME,MURASAKi,STD,EXPERT,9+,100.01%,SSS,-,-,1,85.20%,930/1092,9.9
ミラクル・ショッピング,POPS＆ANIME,MiLK,STD,EXPERT,10+,98.26%,S+,-,-,0,83.50%,1127/1350,10.8
きらっせ☆ウッド村ファーム,POPS＆ANIME,MURASAKi,STD,EXPERT,10,94.63%,AAA,-,-,0,81.50%,1392/1707,10.1
インドア系ならトラックメイカー,POPS＆ANIME,UNiVERSE,DX,EXPERT,10,100.91%,SSS+,FC+,SYNC,2,92.30%,1216/1317,10.5
メズマライザー,niconico＆VOCALOID™,PRiSM PLUS (beta),DX,EXPERT,10,100.65%,SSS+,FC,-,2,90.60%,1425/1572,10.5
抜錨,niconico＆VOCALOID™,PRiSM PLUS (beta),DX,EXPERT,10+,99.95%,SS+,FC,SYNC,1,87.90%,1488/1692,10.7
あいたい星人,niconico＆VOCALOID™,PRiSM PLUS (beta),DX,EXPERT,9+,100.39%,SSS,FC,-,1,89.90%,1427/1587,9.7
ハオ,niconico＆VOCALOID™,PRiSM PLUS (beta),DX,EXPERT,10,100.78%,SSS+,FC,-,2,92.50%,1393/1506,10
M@GICAL☆CURE! LOVE ♥ SHOT!,niconico＆VOCALOID™,PRiSM PLUS (beta),DX,EXPERT,11,100.75%,SSS+,FC,SYNC,2,91.70%,1714/1869,11.2
のだ,niconico＆VOCALOID™,PRiSM PLUS (beta),DX,EXPERT,9+,100.72%,SSS+,FC,FS+,2,92.00%,1223/1329,9.8
ゆりかご,niconico＆VOCALOID™,PRiSM PLUS (beta),DX,EXPERT,9,100.23%,SSS,-,SYNC,1,88.90%,915/1029,9
月光,niconico＆VOCALOID™,PRiSM PLUS (beta),DX,EXPERT,11,100.27%,SSS,FC,SYNC,2,90.40%,1738/1923,11.2
トンデモワンダーズ,niconico＆VOCALOID™,BUDDiES,DX,EXPERT,10,95.28%,AAA,-,SYNC,0,78.90%,1082/1371,10
デビルじゃないもん,niconico＆VOCALOID™,PRiSM (beta),DX,EXPERT,9+,98.71%,S+,FC,SYNC,1,88.50%,1293/1461,9.7
てらてら,niconico＆VOCALOID™,PRiSM (beta),DX,EXPERT,10,96.78%,AAA,-,-,0,80.20%,1270/1584,10.5
バグ,niconico＆VOCALOID™,BUDDiES,DX,EXPERT,10,69.89%,B,-,SYNC,0,49.80%,924/1854,10.2
人マニア,niconico＆VOCALOID™,PRiSM (beta),DX,EXPERT,10+,99.84%,SS+,-,SYNC,1,88.10%,1110/1260,10.9
イガク,niconico＆VOCALOID™,PRiSM (beta),DX,EXPERT,11,100.20%,SSS,FC,SYNC,1,89.80%,1401/1560,11.2
フォニイ,niconico＆VOCALOID™,FESTiVAL,DX,EXPERT,9+,97.13%,S,-,SYNC,0,84.70%,1321/1560,9.8
グッバイ宣言,niconico＆VOCALOID™,UNiVERSE,DX,EXPERT,9+,93.72%,AA,-,-,0,77.60%,1209/1557,9.8
星界ちゃんと可不ちゃんのおつかい合騒曲,niconico＆VOCALOID™,BUDDiES,DX,EXPERT,11+,100.61%,SSS+,FC,SYNC,2,91.30%,1936/2121,11.9
きゅうくらりん,niconico＆VOCALOID™,FESTiVAL,DX,EXPERT,11+,100.50%,SSS,FC,SYNC,1,89.20%,1686/1890,11.6
セカイ,niconico＆VOCALOID™,FESTiVAL PLUS,DX,EXPERT,10,99.22%,SS,-,-,1,85.30%,921/1080,10
にっこり^^調査隊のテーマ,niconico＆VOCALOID™,BUDDiES PLUS,DX,EXPERT,10,100.97%,SSS+,FC+,-,3,94.30%,1380/1464,10.5
